Metric,Train,Validation,Test
loss,0.14250989258289337,0.1952030509710312,0.27652454376220703
segmentation_loss,0.13561862707138062,0.18851256370544434,0.25387394428253174
classification_loss,0.013782573863863945,0.013380981050431728,0.045301273465156555
segmentation_iou_score,0.9623751044273376,0.9444113373756409,0.9177196025848389
segmentation_binary_accuracy,0.9807285666465759,0.9713791012763977,0.9586779475212097
classification_binary_accuracy,0.995067834854126,1.0,0.9803149700164795
classification_precision,0.9947437644004822,1.0,1.0
classification_recall,1.0,1.0,0.9788135886192322
